Run,Type,Target,EBeam,P_SHMS,Theta_SHMS,P_HMS,Theta_HMS,Current,PS1,PS4,PS5,HMS_Rate_(kHz),SHMS_Rate_(kHz),Coin_Rate_(kHz),Charge_(mC),Raw_HMS,Raw_SHMS,Raw_Coin,EDTM,SHMS_Hadron_Tracking,Comments,LH2,,,,,,LD2,,,,,,
11922,Prod,LD2,9.203,5.422,10.26,3.738,-12.4,43.329,12,11,2,186.865,507.092,6.838,37.032,1400k,1455k,1279k,8k,0.544,,,,,,,,,,,,,,
11928,Prod,LD2,9.203,5.422,10.26,3.738,-12.4,24.29,12,11,0,82.858,211.744,1.358,81.946,4207k,4296k,3952k,100k,0.903,~16k good events?,,,,,,,,,,,,,
11933,Prod,LD2,9.203,5.422,10.26,3.738,-12.4,26.09,12,11,0,83.361,212.598,1.365,92.436,4743k,4843k,4455k,105k,0.903,~15k good events,,,,,,,,,,,,,
11934,Prod,LD2,9.203,5.422,10.26,3.738,-12.4,25.282,12,11,0,78.168,201.695,1.238,51.361,2516k,2572k,2359k,60k,0.909,~7k good events,,,,,,,,,,,,,
11941,Prod,LD2,9.203,5.422,10.26,3.738,-12.4,32.511,12,11,0,99.366,252.311,4.746,29.693,3554k,3581k,3482k,2246k,0.879,~4000 good events,,,,,,,,,,,,,
11942,Prod,LD2,9.203,5.422,10.26,3.738,-12.4,33.567,12,11,0,100.937,255.725,4.785,32.835,3909k,3939k,3828k,2423k,0.875,~5000 good events,,,,,,,,,,,,,
11943,Prod,LD2,9.203,5.422,10.26,3.738,-12.4,30.888,12,11,0,96.613,248.528,1.797,84.341,4836k,4932k,4572k,27k,0.875,~19k good events,,,,,,,,,,,,,
11944,Prod,LD2,0,0,0,0,0,33.502,12,11,0,98.163,252.319,1.834,9.844,552k,563k,522k,3k,0.876,~2000 good events,,,,,,,,,,,,,
11947,Prod,LD2,9.203,5.422,8.265,3.738,-12.4,21.929,13,10,0,64.49,391.704,1.825,32.316,2870k,2882k,2682k,14k,0.812,~10800 good events,,,,,,,,,,,,,
11948,Prod,LD2,9.203,5.422,8.265,3.738,-12.4,21.893,13,10,0,64.454,391.605,1.825,3.226,218k,219k,203k,1k,0.81,~850 good events,,,,,,,,,,,,,
11951,Prod,LD2,9.203,5.422,8.265,3.738,-12.4,21.799,13,10,0,64.406,391.03,1.824,31.851,2846k,2858k,2660k,14k,0.816,~10k good events,,,,,,,,,,,,,
11952,Prod,LD2,,5.422,8.265,9.203,3.738,19.925,13,10,0,63.991,388.497,1.805,32.239,2864k,2876k,2676k,16k,0.816,~11k good events,,,,,,,,,,,,,
11953,Prod,LD2,9.203,5.422,8.265,3.738,-12.4,21.832,13,10,0,64.561,391.362,1.828,32.01,2863k,2875k,2676k,14k,0.813,~11k good events,,,,,,,,,,,,,
11955,Prod,LD2,9.203,5.422,8.265,3.738,-12.4,21.378,13,10,0,64.29,389.557,1.814,39.521,3538k,3552k,3305k,18k,0.812,~14k good events,,,,,,,,,,,,,
11958,Prod,LD2,9.203,5.422,8.265,3.738,-12.4,21.668,13,10,0,64.484,389.488,1.817,2.266,190k,190k,177k,1k,0.82,~700 good events,,,,,,,,,,,,,
11959,Prod,LD2,9.203,5.422,8.265,3.738,-12.4,19.749,13,10,0,63.887,386.655,1.8,26.252,2355k,2364k,2200k,13k,0.817,~9k good coins,,,,,,,,,,,,,
11960,Prod,LD2,9.203,5.422,8.265,3.738,-12.4,21.724,13,10,0,64.717,390.898,1.829,32.069,2884k,2896k,2695k,14k,0.816,~11057 good pi-n events,,,,,,,,,,,,,
11961,Prod,LD2,9.203,5.422,8.265,3.738,-12.4,18.19,13,10,0,64.126,386.623,1.801,32.629,2917k,2928k,2725k,18k,0.817,11439 pi-n events,,,,,,,,,,,,,
11962,Prod,LD2,9.203,5.422,8.265,3.738,-12.4,19.716,13,10,0,64.21,387.018,1.808,32.232,2897k,2908k,2706k,16k,0.815,~11215 good pi-n events,,,,,,,,,,,,,
11963,Prod,LD2,9.203,5.422,8.265,3.738,-12.4,16.411,13,10,0,64.18,386.704,1.802,24.762,2216k,2224k,2070k,15k,0.816,~8576 good pi-n events,,,,,,,,,,,,,
11965,Prod,LD2,9.203,5.422,8.265,3.738,-12.4,20.436,13,10,0,64.031,387.788,1.803,33.542,2998k,3010k,2801k,16k,0.817,~12k good events,,,,,,,,,,,,,
11966,Prod,LD2,9.203,5.422,8.265,3.738,-12.4,20.756,13,10,0,64.095,387.889,1.801,33.549,2996k,3008k,2798k,16k,0.818,12k good events,,,,,,,,,,,,,
11967,Prod,LD2,9.203,5.422,8.265,3.738,-12.4,19.422,13,10,0,64.063,387.508,1.804,32.184,2883k,2895k,2693k,16k,0.819,~11k good events,,,,,,,,,,,,,
11968,Prod,LD2,9.203,5.422,8.265,3.738,-12.4,21.119,13,10,0,64.33,388.431,1.811,32.012,2872k,2884k,2684k,15k,0.816,10984 pi-n events,,,,,,,,,,,,,
11969,Prod,Dummy10cm,9.203,5.422,8.265,3.738,-12.4,25.636,13,10,0,17.545,77.507,0.137,4.558,22k,21k,18k,2k,0.969,,,,,,,,,,,,,,
11970,Prod,Dummy10cm,9.203,5.422,8.265,3.738,-12.4,31.686,11,9,0,17.569,77.659,0.137,57.593,330k,348k,220k,18k,0.978,,,,,,,,,,,,,,
11971,Prod,LH2,9.203,5.422,8.265,3.738,-12.4,40.608,13,10,0,56.516,385.733,1.642,19.963,862k,871k,807k,5k,0.702,6479 pi-n events,,,,,,,,,,,,,
11972,Prod,LH2,9.203,5.422,8.265,3.738,-12.4,27.873,13,10,0,42.35,283.478,0.929,82.905,2773k,2790k,2544k,29k,0.837,34746,,,,,,,,,,,,,
11973,Prod,LH2,9.203,5.422,8.265,3.738,-12.4,21.035,13,10,0,39.162,261.211,0.839,3.341,110k,111k,101k,2k,0.847,1423 pi-n events fadc run,,,,,,,,,,,,,
11974,Prod,LH2,9.203,5.422,8.265,3.738,-12.4,27.391,13,10,0,41.982,280.509,0.918,84.262,2812k,2829k,2579k,30k,0.836,35009 pi-n events,,,,,,,,,,,,,
11975,Prod,LH2,9.203,5.422,8.265,3.738,-12.4,29.96,13,10,0,42.682,285.04,0.939,83.85,2811k,2828k,2580k,28k,0.84,34862 pi-n events,,,,,,,,,,,,,
11976,Prod,LH2,9.203,5.422,8.265,3.738,-12.4,29.931,13,10,0,42.697,284.9,0.939,83.884,2815k,2832k,2583k,28k,0.837,35k good events,,,,,,,,,,,,,
11977,Prod,LH2,9.203,5.422,8.265,3.738,-12.4,26.776,13,10,0,42.674,284.547,0.935,31.432,1051k,1057k,964k,12k,0.84,13219 pi-n events,,,,,,,,,,,,,
11978,Prod,LH2,9.203,5.422,6.255,3.738,-12.4,13.644,13,9,0,20.05,308.257,0.467,44.069,1701k,1759k,1458k,32k,0.835,~15 k events,,,,,,,,,,,,,
11979,Prod,LH2,9.203,5.422,6.255,3.738,-12.4,14.214,13,9,0,20.141,309.947,0.47,2.083,80k,83k,69k,1k,0.837,741,,,,,,,,,,,,,
11980,Prod,LH2,9.203,5.422,6.255,3.738,-12.4,12.944,13,9,0,20.018,307.813,0.465,46.598,1793k,1855k,1537k,36k,0.837,16223,,,,,,,,,,,,,
11981,Prod,LH2,9.203,5.422,6.255,3.738,-12.4,10.095,13,9,0,20.025,308.028,0.467,16.166,628k,649k,539k,16k,0.835,5642,,,,,,,,,,,,,
11982,Prod,LH2,9.203,5.422,6.255,3.738,-12.4,6.748,13,9,0,19.052,293.459,0.436,20.637,799k,826k,686k,32k,0.84,7k good events,,,,,,,,,,,,,
11983,Prod,LH2,9.203,5.422,6.255,3.738,-12.4,13.848,13,9,0,19.922,307.291,0.465,9.251,357k,369k,306k,7k,0.835,3k good events,,,,,,,,,,,,,
11984,Prod,LH2,9.203,5.422,6.255,3.738,-12.4,12.218,13,9,0,19.409,299.353,0.448,12.507,479k,495k,410k,10k,0.842,4500 good events,,,,,,,,,,,,,
11985,Prod,LH2,9.203,5.422,6.255,3.738,-12.4,10.615,13,9,0,19.581,302.18,0.45,38.643,1479k,1530k,1267k,36k,0.839,14k good events,,,,,,,,,,,,,
11986,Prod,LH2,9.203,5.422,6.255,3.738,-12.4,6.544,13,9,0,19.862,306.816,0.461,9.122,356k,368k,307k,15k,0.84,3352 good events,,,,,,,,,,,,,
11987,Prod,LH2,9.203,5.422,6.255,3.738,-12.4,13.075,13,9,0,19.743,304.521,0.456,45.327,1731k,1791k,1483k,34k,0.837,16k,,,,,,,,,,,,,
11989,Prod,LH2,9.203,5.422,6.255,3.738,-12.4,11.364,13,9,0,19.109,294.662,0.438,24.015,914k,945k,782k,21k,0.839,8800,,,,,,,,,,,,,
11990,Prod,LH2,9.203,5.422,6.255,3.738,-12.4,13.158,13,9,0,19.36,298.841,0.441,32.937,1241k,1283k,1060k,25k,0.843,12300,,,,,,,,,,,,,
11991,Prod,Dummy10cm,9.203,5.422,6.255,3.738,-12.4,30.866,12,9,0,17.78,204.446,0.284,84.069,815k,914k,655k,27k,0.887,2200,,,,,,,,,,,,,
11992,Prod,LD2,9.203,5.422,6.255,3.738,-12.4,8.964,13,9,0,28.148,397.882,0.804,31.2,3046k,3128k,2683k,34k,0.833,10500,,,,,,,,,,,,,
11993,Prod,LD2,9.203,5.422,6.255,3.738,-12.4,8.545,13,9,0,28.151,397.915,0.804,20.271,1985k,2038k,1748k,23k,0.837,6900,,,,,,,,,,,,,
11994,Prod,LD2,9.203,5.422,6.255,3.738,-12.4,9.355,13,9,0,28.134,397.561,0.805,1.659,162k,166k,143k,2k,0.838,5958,,,,,,,,,,,,,
11995,Prod,LD2,9.203,5.422,6.255,3.738,-12.4,8.689,13,9,0,28.278,399.474,0.81,22.408,2198k,2257k,1937k,25k,0.837,7600,,,,,,,,,,,,,
11996,Prod,LD2,9.203,5.422,6.255,3.738,-12.4,8.457,13,9,0,28.34,400.017,0.813,22.83,2242k,2301k,1976k,27k,0.837,7634,,,,,,,,,,,,,
11997,Prod,LD2,9.203,5.422,6.255,3.738,-12.4,8.922,13,9,0,28.267,398.735,0.81,28.968,2846k,2921k,2507k,32k,0.836,9469,,,,,,,,,,,,,
11998,Prod,LD2,9.203,5.422,6.255,3.738,-12.4,9.243,13,9,0,28.386,399.599,0.813,33.235,3267k,3352k,2878k,35k,0.834,11102,,,,,,,,,,,,,
11999,Prod,LD2,9.203,5.422,6.255,3.738,-12.4,9.348,13,9,0,28.3,398.159,0.809,18.534,1821k,1869k,1604k,19k,0.837,6261,,,,,,,,,,,,,
12000,Prod,LD2,9.203,5.422,6.255,3.738,-12.4,6.126,13,9,0,28.395,399.015,0.813,8.722,865k,887k,763k,15k,0.833,2925,,,,,,,,,,,,,
12001,Prod,LD2,9.203,5.422,6.255,3.738,-12.4,9.274,13,9,0,28.439,399.669,0.814,24.052,2367k,2430k,2085k,25k,0.835,8091,,,,,,,,,,,,,
12002,Prod,LD2,9.203,5.422,6.255,3.738,-12.4,9.329,13,9,0,28.494,400.143,0.817,24.578,2423k,2486k,2135k,26k,0.832,8250,,,,,,,,,,,,,
12003,Prod,LD2,9.203,5.422,6.255,3.738,-12.4,9.35,13,9,0,28.503,400.127,0.817,15.03,1483k,1522k,1307k,16k,0.834,5019,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11992,Prod,LD2,9.203,5.422,6.255,3.738,-12.4,8.964,13,9,0,28.148,397.882,0.804,31.2,,,,,,,,,,,,,,,,,,,
11993,Prod,LD2,9.203,5.422,6.255,3.738,-12.4,8.545,13,9,0,28.151,397.915,0.804,20.271,,,,,,,,,,,,,,,,,,,
11994,Prod,LD2,9.203,5.422,6.255,3.738,-12.4,9.355,13,9,0,28.134,397.561,0.805,1.659,,,,,,,,,,,,,,,,,,,
11995,Prod,LD2,9.203,5.422,6.255,3.738,-12.4,8.689,13,9,0,28.278,399.474,0.81,22.408,,,,,,,,,,,,,,,,,,,
11996,Prod,LD2,9.203,5.422,6.255,3.738,-12.4,8.457,13,9,0,28.34,400.017,0.813,22.83,,,,,,,,,,,,,,,,,,,
11997,Prod,LD2,9.203,5.422,6.255,3.738,-12.4,8.922,13,9,0,28.267,398.735,0.81,28.968,,,,,,,,,,,,,,,,,,,
11998,Prod,LD2,9.203,5.422,6.255,3.738,-12.4,9.243,13,9,0,28.386,399.599,0.813,33.235,,,,,,,,,,,,,,,,,,,
11999,Prod,LD2,9.203,5.422,6.255,3.738,-12.4,9.348,13,9,0,28.3,398.159,0.809,18.534,,,,,,,,,,,,,,,,,,,
12000,Prod,LD2,9.203,5.422,6.255,3.738,-12.4,6.126,13,9,0,28.395,399.015,0.813,8.722,,,,,,,,,,,,,,,,,,,
12001,Prod,LD2,9.203,5.422,6.255,3.738,-12.4,9.274,13,9,0,28.439,399.669,0.814,24.052,,,,,,,,,,,,,,,,,,,
12002,Prod,LD2,9.203,5.422,6.255,3.738,-12.4,9.329,13,9,0,28.494,400.143,0.817,24.578,,,,,,,,,,,,,,,,,,,
12003,Prod,LD2,9.203,5.422,6.255,3.738,-12.4,9.35,13,9,0,28.503,400.127,0.817,15.03,,,,,,,,,,,,,,,,,,,
11949,Prod,LD2,9.203,5.422,8.265,3.738,-12.4,21.673,13,10,0,64.426,391.514,1.825,31.688,,,,,,,,,,,,,,,,,,,
11950,Prod,LD2,9.203,5.422,8.265,3.738,-12.4,19.703,13,10,0,64.077,389.838,1.811,29.679,,,,,,,,,,,,,,,,,,,
12020,Prod,LD2,,,,,,5.669,13,9,0,27.277,386.531,0.76,5.524,,,,,,,,,,,,,,,,,,,
12022,Prod,LD2,9.203,5.422,6.255,3.738,-12.4,6.648,13,9,0,23.601,805.877,1.318,2.625,,,,,,,,,,,,,,,,,,,
12017,Prod,LD2,9.203,5.422,6.255,3.738,-12.4,6.968,13,9,0,28.065,397.189,0.802,4.732,,,,,,,,,,,,,,,,,,,
12018,Prod,LD2,9.203,5.422,6.255,3.738,-12.4,8.483,13,9,0,28.003,402.025,0.808,17.523,,,,,,,,,,,,,,,,,,,
12019,Prod,LD2,9.203,5.422,6.255,3.738,-12.4,9.045,13,9,0,27.58,390.611,0.775,19.458,,,,,,,,,,,,,,,,,,,
12020,Prod,LD2,9.203,5.422,6.255,3.738,-12.4,5.669,13,9,0,27.277,386.531,0.76,5.524,,,,,,,,,,,,,,,,,,,
12021,Prod,LD2,9.203,5.422,6.255,3.738,-12.4,9.272,13,9,0,27.26,386.119,0.756,8.684,,,,,,,,,,,,,,,,,,,
